y (cm),p_min,p_max
136.3,0,0
136,7.37,7.58
135.7,18,18.2
135.4,48.7,49.4
135.1,69,71.4
134.8,124.1,127.3
134.5,159.4,159.9
134.2,202,206
133.9,300,303
133.6,352,356
133.3,448,452
133,526,534
132.7,575,577
132.4,638,643
132.1,665,668
131.8,659,660
131.5,629,633
131.2,557,561
130.9,495,498
130.6,438,444
130.3,327,330
130,246,258
129.7,198,201
129.4,137,140
129.1,106,107
128.8,59.4,61.2
128.5,34.4,37.9
128.2,14.2,15.6
127.9,4.7,6.2
127.6,0,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
