y,p_min,p_max
131.6,0,0
131.7,432,438
131.8,1415,1417
131.9,1446,1448
132,1449,1450
132.1,1450,1451
132.2,1449,1450
132.3,1450,1452
132.4,1451,1453
132.5,1450,1453
132.6,1453,1452
132.7,1449,1450
132.8,1449,1451
132.9,1449,1451
133,1450,1451
133.1,1449,1450
133.2,1449,1450
133.3,1450,1452
133.4,1438,1439
133.5,0,0
