y (cm),p_min,p_max
126.5,0,0
126.8,7.31,7.85
127.1,19.3,20.1
127.4,18.7,23.2
127.7,33.6,34.2
128,45.7,53.8
128.3,85.4,88.4
128.6,113.6,117.6
128.9,138.3,143.6
129.2,182.6,184.1
129.5,234,239
129.8,270,276
130.1,346,349
130.4,364,376
130.7,447,451
131,467,474
131.3,520,521
131.6,532,536
131.9,538,548
132.2,542,550
132.5,527,529
132.8,492,499
133.1,448,450
133.4,395,381
133.7,319,330
134,288,306
134.3,245,251
134.6,212,217
134.9,148,160
135.2,112,107
135.5,82.8,92.1
135.8,68.8,62.9
136.1,44.8,45.4
136.4,23.5,25
136.7,11.6,13.2
137,6.44,5.61
137.3,0,0
,,
,,
,,
