y (cm),p_min,p_max
128.9,0,0
129.2,7.58,7.27
129.5,26.8,28.5
129.8,65.8,68.8
130.1,148.5,148.1
130.4,202,205
130.7,336,339
131,507,503
131.3,690,700
131.6,853,872
131.9,946,954
132.2,984,989
132.5,908,902
132.8,834,828
133.1,600,580
133.4,475,478
133.7,323,319
134,168,185
134.3,116,121
134.6,53.6,59.4
134.9,27.3,21.8
135.2,4.67,5.72
135.5,0,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
