y (cm),p_min,p_max
135.1,0,0
134.9,10.77,12.39
134.7,22.3,23.5
134.5,55.3,47.7
134.3,90.3,96.6
134.1,137.5,141.2
133.9,219,224
133.7,297,302
133.5,376,387
133.3,555,569
133.1,641,653
132.9,806,814
132.7,934,946
132.5,1031,1038
132.3,1101,1091
132.1,1087,1092
131.9,993,1000
131.7,934,940
131.5,708,712
131.3,594,604
131.1,502,506
130.9,349,360
130.7,260,270
130.5,181,197
130.3,117,152
130.1,90.8,99.1
129.9,41.9,49.8
129.7,19.3,23.3
129.5,6.76,7.95
129.3,0,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
